runid,experimentid,tasks,sensors,samples,datagram,repeats,start_time,end_time,duration_seq_mean,duration_seq_sd,duration_seq_median,duration_seq_min,duration_seq_max,duration_coro_mean,duration_coro_sd,duration_coro_median,duration_coro_min,duration_coro_max,spike_power_seq_mean,spike_power_seq_sd,spike_power_seq_median,spike_power_seq_min,spike_power_seq_max,spike_power_coro_mean,spike_power_coro_sd,spike_power_coro_median,spike_power_coro_min,spike_power_coro_max,adjusted_power_statistics_seq_mean,adjusted_power_statistics_seq_sd,adjusted_power_statistics_seq_median,adjusted_power_statistics_seq_min,adjusted_power_statistics_seq_max,adjusted_power_statistics_coro_mean,adjusted_power_statistics_coro_sd,adjusted_power_statistics_coro_median,adjusted_power_statistics_coro_min,adjusted_power_statistics_coro_max,duration_deltas_mean,duration_deltas_sd,duration_deltas_median,duration_deltas_min,duration_deltas_max,spike_power_deltas_mean,spike_power_deltas_sd,spike_power_deltas_median,spike_power_deltas_min,spike_power_deltas_max,adjusted_power_deltas_mean,adjusted_power_deltas_sd,adjusted_power_deltas_median,adjusted_power_deltas_min,adjusted_power_deltas_max
598f79b3-aa34-41b9-abf9-2b3d902a59bc,f69da8c0-e55a-49bf-8cea-e5e80a771362,2,10,10,128,30,2023-09-09 16:31:42.507671,2023-09-09 16:32:09.518617,0.00011636666666666667,6.379789388661523e-05,9.2e-05,9.1e-05,0.000279,0.0001193,2.9872314480364473e-05,0.000107,0.000105,0.000209,0.0002730114362716675,0.00011330634265683302,0.00022878745877742766,0.00022632551550865173,0.0005628377630710602,0.0002968993173678716,6.244812407828048e-05,0.0002706626123189926,0.00026437992167472837,0.00048378976798057555,0.00011021758764187494,2.245959645272906e-05,0.00010551959407329559,4.8393251180648806e-05,0.0002038938899040222,9.641239235401154e-05,1.9049809446934275e-05,9.620369058847426e-05,1.591337513923645e-05,0.00012227340054512024,0.1133596809746638,0.1763136557313754,0.16304347826086954,-0.32616487455197135,0.4565217391304348,0.14153148150665398,0.14914875186499357,0.17675988934272774,-0.22169114997014752,0.5039358704547321,-0.09033164363731135,0.2842008321909481,-0.11109108090909024,-0.8446430530229224,0.9889833604816157
598f79b3-aa34-41b9-abf9-2b3d902a59bc,539a2432-7f3c-49dc-8a68-f0c9d9faba7d,2,10,10,192,30,2023-09-09 16:32:09.925264,2023-09-09 16:32:36.992007,0.000127,6.464918592974942e-05,0.000106,0.000105,0.000319,0.00014006666666666667,5.393925915472811e-05,0.000119,0.000116,0.00034,0.00030623430979251863,0.0001152022971618123,0.00026838807916641235,0.00026508714699745176,0.000650154021024704,0.0003497270416935285,0.00010711515618884244,0.0003048865191936493,0.0002965384333133698,0.0007063028312921524,0.00011438457560737927,1.3541966727944559e-05,0.00011610449677705765,5.31502999663353e-05,0.00013639207863807678,0.00010912317876021067,7.658779510967231e-06,0.00010717404913902282,9.533144664764404e-05,0.00012508190703392028,0.14106511480280096,0.13222331883584892,0.12380952380952372,-0.28301886792452824,0.4716981132075471,0.16212604199075065,0.12414186467613042,0.1301554404780684,-0.16892824698751985,0.5033115759126593,-0.023518402308609472,0.20793302813151437,-0.07122805807947566,-0.2032883308724049,0.93094491995244
598f79b3-aa34-41b9-abf9-2b3d902a59bc,f4d172f0-d8ee-46eb-8474-3f317f30bc2a,2,10,10,256,30,2023-09-09 16:32:37.437921,2023-09-09 16:33:05.075699,0.0001598,8.612156604434823e-05,0.000124,0.000123,0.000377,0.00015196666666666666,4.063757674466036e-05,0.000136,0.000133,0.000294,0.0003879572498877843,0.00015464794237035403,0.00032063517284393306,0.0003164715170860291,0.0007797998265028,0.000386724086300532,8.538823558028492e-05,0.0003514280700683594,0.00034463115286827086,0.0006798925592899323,0.00012989512224992117,2.46421100979599e-05,0.00013013651084899902,8.154593133926392e-05,0.00022643903350830078,0.00011036098780632019,1.8749889014363908e-05,0.00011413744509220124,4.92105507850647e-05,0.00013165885090827943,0.028757252254462247,0.16208139776701772,0.0887096774193548,-0.4197860962566845,0.2719999999999999,0.04285223837029571,0.13827714129474417,0.08929593142641098,-0.3122243536101672,0.2957710137021218,-0.12280214515917934,0.214464115017105,-0.1163520474949476,-0.6451321975126828,0.36087664050893625
598f79b3-aa34-41b9-abf9-2b3d902a59bc,73967e7b-c3af-4ed8-a46f-8eaab721980e,2,10,10,320,30,2023-09-09 16:33:05.505001,2023-09-09 16:33:32.976105,0.0001753,9.182597859444563e-05,0.000145,0.000143,0.000457,0.00018153333333333332,7.47860088949583e-05,0.00015549999999999999,0.000153,0.000454,0.00043460000414450965,0.00016888634186188207,0.00037846638560295104,0.00037504188895225523,0.0009730817776918411,0.0004604133908311526,0.0001467338950015426,0.00040771342539787294,0.0003996506471633911,0.0009429738956689835,0.00014495532176097236,1.4764144056842325e-05,0.00014560667538642883,8.945015525817872e-05,0.0001701758247613907,0.00012661650613546372,1.5542365186815332e-05,0.00012887699270248412,7.576119327545165e-05,0.00014930823135375976,0.0658500002726715,0.08945410689060343,0.06849636406286652,-0.21076233183856505,0.35862068965517235,0.07541950763238481,0.0763247885312049,0.0689639330171104,-0.0969203028069193,0.3732832977612128,-0.10803572578651305,0.20060775292635924,-0.11540177919367549,-0.5548063693437126,0.6444605622291081
598f79b3-aa34-41b9-abf9-2b3d902a59bc,f1c7d864-fc32-4690-914d-49a887324e87,2,10,10,384,30,2023-09-09 16:33:33.442295,2023-09-09 16:34:00.913771,0.00019536666666666668,9.839942645379993e-05,0.000162,0.000159,0.000489,0.00019883333333333333,7.731667230353331e-05,0.000172,0.000167,0.000492,0.0004907091170748075,0.00017581743181746993,0.0004298278887271881,0.0004181418650150299,0.001011780911564827,0.0005116420797228813,0.00015096529594399132,0.0004563088791370392,0.0004415663847923279,0.0010577000498771668,0.00016052251463333765,1.2034666823396554e-05,0.00015863119357824326,0.00012780831432342529,0.00018851717400550843,0.00013968280127843222,1.9144000281912065e-05,0.00014317842936515808,9.496876001358033e-05,0.00016942582535743714,0.05319879070733952,0.10836843035358593,0.055728088336784,-0.43092783505154647,0.22360248447204956,0.06076483373566896,0.09456581360655167,0.054091268933746085,-0.333124149522911,0.24188832673514332,-0.12662606033001358,0.1280450274980911,-0.1120030282934282,-0.37999772820569,0.11124957404201741
598f79b3-aa34-41b9-abf9-2b3d902a59bc,cd45ede1-964c-47ab-be68-8d86f16f92e7,2,10,10,448,30,2023-09-09 16:34:01.345268,2023-09-09 16:34:28.975039,0.00021836666666666667,0.0001133184354643672,0.00018,0.000178,0.000572,0.00020556666666666666,4.6326936629473616e-05,0.000188,0.000184,0.000377,0.0005507610110600789,0.00020433888214746164,0.00047958165979385375,0.00047356185841560363,0.0011935923796892165,0.0005412820487181346,9.800258877238236e-05,0.0005015551595687867,0.0004899727699756622,0.00090523521733284,0.00017129614543914796,1.2803123884303043e-05,0.00016979929745197296,0.00012254617714881896,0.00020277316904067992,0.00015086897029876708,1.6578518203483087e-05,0.00015110141730308532,8.167109322547913e-05,0.00017453801250457763,0.010278634355677963,0.14783672598504527,0.04494382022471913,-0.47202797202797203,0.28333333333333327,0.02204062432560973,0.1241218188429251,0.04264647757494015,-0.3825355562989571,0.3002976148245962,-0.1150084586875945,0.11917285442927303,-0.11535161154848694,-0.4970045895809844,0.2959201791019661
598f79b3-aa34-41b9-abf9-2b3d902a59bc,e9f129bb-82fe-42a2-b9df-ed3ea48255bf,2,10,10,512,30,2023-09-09 16:34:29.432370,2023-09-09 16:34:56.801856,0.00023996666666666665,0.0001198229968524934,0.000197,0.000194,0.000587,0.00022466666666666666,7.731143169845173e-05,0.0002005,0.000199,0.000588,0.0006082263829827308,0.00021263058562829505,0.000529987805724144,0.0005205142347812653,0.0012201212581396104,0.0005851812474131584,0.00014095436134617693,0.0005367443497180939,0.0005292675411701203,0.0012192219132184982,0.00018434445246855418,7.98630917807359e-06,0.0001831709704399109,0.00016906595832109453,0.00021110922646522522,0.0001584300116856893,1.439631191129879e-05,0.00015767501950263976,0.0001127105232477188,0.00018819440925121309,-0.015533685793459796,0.12845719609820702,0.015267274422459436,-0.4395229982964225,0.08163265306122454,-0.011855137842126155,0.09798803586744294,0.01218091662619597,-0.3369630321698303,0.07891857578590376,-0.13892058335251134,0.08916924554871124,-0.13367126669481455,-0.3804883311764034,0.08922653489667516
598f79b3-aa34-41b9-abf9-2b3d902a59bc,9b6eff9e-d23f-4343-ab78-5be73885a7a4,2,10,10,576,30,2023-09-09 16:34:57.249539,2023-09-09 16:35:24.524109,0.0002607,0.00013067890366110733,0.000216,0.000213,0.000647,0.00024806666666666666,8.989761737218291e-05,0.000219,0.000215,0.000661,0.0006717950634280841,0.00023297794109348574,0.0005877557280063629,0.000576904566526413,0.0013682174396514892,0.0006503342428565025,0.00016622759617435936,0.000592630835533142,0.000577016560792923,0.001382493517756462,0.0002098625285744667,6.945277238108967e-05,0.00019667698109149934,0.00016442183065414428,0.0005736834852695465,0.00016958494057655335,1.7941686181538706e-05,0.0001697336251735687,0.0001014644787311554,0.00019962017107009889,-0.007132519011791541,0.11613194102447488,0.01398608998043906,-0.45256609642301715,0.1666666666666667,-0.009256570100711245,0.10029457110008148,0.009994046479816658,-0.363996306758381,0.1645151728531422,-0.15623191353300808,0.1460283213941789,-0.142723776571614,-0.714563516468686,0.03938237532564728
67fd8416-d526-4679-a7c6-7998d43851a7,6bff8a9b-7140-4de7-88fe-7f11916d546d,2,10,10,640,30,2023-09-09 16:36:54.557421,2023-09-09 16:37:24.329896,0.0002929,0.00014819706125803318,0.000233,0.00023,0.0007,0.00027593333333333334,9.959951991759846e-05,0.00023700000000000001,0.000231,0.000678,0.0007474438079476356,0.00026733551118284383,0.0006321866363286972,0.0006226818881034851,0.0014631814703941345,0.0007220296020905176,0.00020814534222450258,0.0006364108951091767,0.0006189417712688446,0.0015693062129020692,0.000207994924557209,4.011807683509545e-05,0.00020481585776805877,0.00017337192273139953,0.0004083605935573578,0.00018178059698343278,1.6457110284721387e-05,0.00017980084693431855,0.00014754140758514405,0.0002256885416507721,-0.010234820368427025,0.14525095427638418,0.015142428785607153,-0.4051724137931035,0.26728971962616827,-0.009195547313193633,0.13186812015713612,0.005052579283838097,-0.31296885582355,0.27180659645586785,-0.10436116897285717,0.14266750684359844,-0.10241171572475648,-0.6386982242829448,0.20902178039745464
67fd8416-d526-4679-a7c6-7998d43851a7,6a4a3843-b896-4c40-9967-28185737d879,2,10,10,704,30,2023-09-09 16:37:24.830263,2023-09-09 16:37:52.387772,0.0002845666666666667,0.00012626810101262051,0.000249,0.000248,0.00075,0.00027726666666666667,8.668608977753895e-05,0.0002515,0.000247,0.00063,0.0007465535140633583,0.0002209250491389501,0.0006828891146183014,0.0006766192409992218,0.0015613197919130326,0.0007376853932142258,0.00017639241529958906,0.0006816189682483673,0.0006707405507564545,0.0014507852251529694,0.00022175654393434525,1.61096339521718e-05,0.0002212318425178528,0.00017967672872543336,0.00026780059909820557,0.00019240959330797195,1.2763527466809255e-05,0.00019245408880710603,0.00016603384828567505,0.00022931935405731202,-0.0009143973663664768,0.0734866449888042,0.004024161160772109,-0.2613333333333333,0.15415019762845839,-0.0023517658815385653,0.05942375083605044,-0.006011713140709474,-0.17023212513879454,0.15653874613418037,-0.12914914097143412,0.07130899696570242,-0.1380693853923089,-0.2521911231010843,0.032311563314385006
