0	0	1701741607478856
1	0	1701741607479338
0	1	1701741607551320
0	0	1701741607593764
1	1	1701741607594240
1	0	1701741607595231
0	1	1701741607595511
0	0	1701741607596401
0	0	1701741616135664
1	0	1701741616136017
0	1	1701741616283534
0	0	1701741616344862
1	1	1701741616348637
1	0	1701741616349761
0	1	1701741616350919
0	0	1701741616351855
0	0	1701741632308241
1	0	1701741632308659
0	1	1701741632401520
0	0	1701741632475307
1	1	1701741632479806
1	0	1701741632481378
0	1	1701741632482757
0	0	1701741632483729
0	0	1701741682836779
1	0	1701741682837211
0	1	1701741682936327
0	0	1701741682974109
1	1	1701741682976455
1	0	1701741682978320
0	1	1701741682979700
0	0	1701741682980473
0	1	1701741683031065
0	0	1701741683032353
1	1	1701741683033744
1	0	1701741683043266
0	1	1701741683044798
0	0	1701741683045977
0	1	1701741683097735
0	0	1701741683098894
1	1	1701741683100559
1	0	1701741683101599
0	1	1701741683103754
0	0	1701741683104582
0	1	1701741683156735
0	0	1701741683157919
1	1	1701741683159261
1	0	1701741683160178
0	1	1701741683161625
0	0	1701741683162488
0	1	1701741683214912
0	0	1701741683215922
1	1	1701741683217377
1	0	1701741683218400
0	1	1701741683220157
0	0	1701741683220963
0	1	1701741683274631
0	0	1701741683275837
1	1	1701741683277787
1	0	1701741683278666
0	1	1701741683280753
0	0	1701741683281535
0	1	1701741683333564
0	0	1701741683334827
1	1	1701741683336224
1	0	1701741683337118
0	1	1701741683338387
0	0	1701741683339117
0	1	1701741683391110
0	0	1701741683392378
1	1	1701741683394024
1	0	1701741683395140
0	1	1701741683396776
0	0	1701741683397740
0	1	1701741683451047
0	0	1701741683452289
1	1	1701741683453585
1	0	1701741683454555
0	1	1701741683456269
0	0	1701741683457182
0	1	1701741683509584
0	0	1701741683510787
1	1	1701741683512138
1	0	1701741683513104
0	1	1701741683514874
0	0	1701741683515729
0	1	1701741683568201
0	0	1701741683569405
1	1	1701741683570808
1	0	1701741683571738
0	1	1701741683573027
0	0	1701741683573914
0	1	1701741683625919
0	0	1701741683627208
1	1	1701741683628787
1	0	1701741683629806
0	1	1701741683631168
0	0	1701741683632299
0	1	1701741683681876
0	0	1701741683683188
1	1	1701741683684670
1	0	1701741683685740
0	1	1701741683687141
0	0	1701741683688124
0	1	1701741683739143
0	0	1701741683740517
1	1	1701741683741957
1	0	1701741683743026
0	1	1701741683745200
0	0	1701741683746002
0	1	1701741683798285
0	0	1701741683799538
1	1	1701741683801158
1	0	1701741683802284
0	1	1701741683804345
0	0	1701741683805172
0	1	1701741683857527
0	0	1701741683858817
1	1	1701741683860186
1	0	1701741683861304
0	1	1701741683862732
0	0	1701741683863525
0	1	1701741683914534
0	0	1701741683915768
1	1	1701741683917175
1	0	1701741683918227
0	1	1701741683919607
0	0	1701741683920406
0	1	1701741683970920
0	0	1701741683972783
1	1	1701741683974049
1	0	1701741683975126
0	1	1701741683976885
0	0	1701741683977784
0	1	1701741684030439
0	0	1701741684031852
1	1	1701741684033246
1	0	1701741684034427
0	1	1701741684035855
0	0	1701741684036826
0	1	1701741684088658
0	0	1701741684089925
1	1	1701741684091324
1	0	1701741684092493
0	1	1701741684094257
0	0	1701741684095278
